year,date,song_title,movie,composer,singer,lyricist,youtube_id,youtube_title,duration,official,verified,downloaded,download_path,view_count,error
1966,2026-03-25,Arulvaaye Nee Arulvaaye,Thiruvilayadal,K.V. Mahadevan,T.M. Soundararajan,,Z3iJCnMPrRY,Arulvaaye Nee Arulvaaye,228,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/Z3iJCnMPrRY_Arulvaaye Nee Arulvaaye.%(ext)s,,
1967,2026-03-25,SANGEETHA MEGHAM (Tamil) BY K.Md.RAFI,Anari,Viswanathan Ramamoorthy,T.M. Soundararajan,Kannadasan,qvt6RiN8lz0,SANGEETHA MEGHAM (Tamil) BY K.Md.RAFI,272,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/qvt6RiN8lz0_SANGEETHA MEGHAM Tamil BY KMdRAFI.%(ext)s,,
1968,2026-03-25,காதல் ராகமும் Video Song ,Kadal Meengal,M.S. Viswanathan,T.M. Soundararajan,Vairamakrishnan,uS0FYQc1xv8,காதல் ராகமும் Video Song ,265,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/uS0FYQc1xv8_கதல ரகமம Video Song.%(ext)s,,
1969,2026-03-25,Poomarathu Nizhalumundu Video Song ,Kuzhandai,K.V. Mahadevan,T.M. Soundararajan,Vairamakrishnan,JkoPWH1yTg8,Poomarathu Nizhalumundu Video Song ,318,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/JkoPWH1yTg8_Poomarathu Nizhalumundu Video Song.%(ext)s,,
1970,2026-03-25,Mayakkama Kalakkama Song - Sumaithaangi (சுமைதாங்கி) Thathuva Paadal,Vazhve Maathey,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,gFcOsnk8DM0,Mayakkama Kalakkama Song - Sumaithaangi (சுமைதாங்கி) Thathuva Paadal,233,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/gFcOsnk8DM0_Mayakkama Kalakkama Song - Sumaithaangi சமதஙக That.%(ext)s,,
1971,2026-03-25,Andhi Neram HD ,Thillu Mullu,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,nTQRzPR76kM,Andhi Neram HD ,188,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/nTQRzPR76kM_Andhi Neram HD.%(ext)s,,
1972,2026-03-25,Nadamaadi Tirindha Unakku - Kamboji - Kantachapu - Papavinasa Mudhaliyar - Arudra Darisanam,Pallavi Anupallavi,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,-WFTBEpAlwY,Nadamaadi Tirindha Unakku - Kamboji - Kantachapu - Papavinasa Mudhaliyar - Arudra Darisanam,258,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/-WFTBEpAlwY_Nadamaadi Tirindha Unakku - Kamboji - Kantachapu -.%(ext)s,,
1974,2026-03-25,Annakili Unnai Theduthe (Sad) ,Annakili,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,p3ij5qLS0Uk,Annakili Unnai Theduthe (Sad) ,279,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/p3ij5qLS0Uk_Annakili Unnai Theduthe Sad.%(ext)s,,
1975,2026-03-25,மலரே குறிஞ்சி மலரே HD Video Song ,Muthal Mariyathai,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,siaDRdE-cd4,மலரே குறிஞ்சி மலரே HD Video Song ,254,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/siaDRdE-cd4_மலர கறஞச மலர HD Video Song.%(ext)s,,
1976,2026-03-25,patli kamariya mori hi hi 🥰 ,Annakili,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,06g4OJfS7mo,patli kamariya mori hi hi 🥰 ,92,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/06g4OJfS7mo_patli kamariya mori hi hi.%(ext)s,,
